Number,Name,IPA,Evolves from,Evolves into,Total evolutionary stages,Evolutionary stage code,Baby,Legendary,Types,Weight lb,Height in,Percentage male,Percentage female,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Power
180,Flaaffy,ˈflæfiː,Mareep,Ampharos,3,3b,FALSE,FALSE,Electric,29.3,31,50,50,70,55,55,80,60,45,365
181,Ampharos,ˈæmfəɹɑːs,Flaaffy,,3,3c,FALSE,FALSE,Electric,135.6,55,50,50,90,75,75,115,90,55,500
182,Bellossom,bɛlˈɑːsəm,Gloom,,3,3c,FALSE,FALSE,Grass,12.8,16,50,50,75,80,85,90,100,50,480
183,Marill,ˈmɛɹəl,Azurill,Azumarill,3,3b,FALSE,FALSE,"Water, Fairy",18.7,16,50,50,70,20,50,20,50,40,250
184,Azumarill,əˈzuːməɹɪl,Marill,,3,3c,FALSE,FALSE,"Water, Fairy",62.8,31,50,50,100,50,80,50,80,50,410
185,Sudowoodo,ˌsuːdoʊˈwuːdoʊ,Bonsly,,2,2b,FALSE,FALSE,Rock,83.8,47,50,50,70,100,115,30,65,30,410
186,Politoed,ˈpɑːliːtoʊd,Poliwhirl,,3,3c,FALSE,FALSE,Water,74.7,43,50,50,90,75,75,90,100,70,500
187,Hoppip,ˈhɑːpɪp,,Skiploom,3,3a,FALSE,FALSE,"Grass, Flying",1.1,16,50,50,35,35,40,35,55,50,250
188,Skiploom,ˈskɪpluːm,Hoppip,Jumpluff,3,3b,FALSE,FALSE,"Grass, Flying",2.2,24,50,50,55,45,50,45,65,80,340
189,Jumpluff,ˈdʒʌmplʌf,Skiploom,,3,3c,FALSE,FALSE,"Grass, Flying",6.6,31,50,50,75,55,70,55,85,110,450
190,Aipom,ˈeɪpɑːm,,Ambipom,2,2a,FALSE,FALSE,Normal,25.4,0,50,50,55,70,55,40,55,85,360
191,Sunkern,ˈsʌŋkɚn,,Sunflora,2,2a,FALSE,FALSE,Grass,4,12,50,50,30,30,30,30,30,30,180
192,Sunflora,ˌsʌnˈflɔːɹə,Sunkern,,2,2b,FALSE,FALSE,Grass,18.7,31,50,50,75,75,55,105,85,30,425
193,Yanma,ˈjænmə,,Yanmega,2,2a,FALSE,FALSE,"Bug, Flying",83.8,47,50,50,65,65,45,75,45,95,390
194,Wooper,ˈwuːpɚ,,"Clodsire, Quagsire",2,2a,FALSE,FALSE,"Water, Ground, Poison, Ground",18.7,16,50,50,55,45,45,25,25,15,210
195,Quagsire,ˈkwæɡsaɪɚ,Wooper,,2,2b,FALSE,FALSE,"Water, Ground",165.3,55,50,50,95,85,85,65,65,35,430
196,Espeon,ˈɛspiːɑːn,Eevee,,2,2b,FALSE,FALSE,Psychic,58.4,0,87.5,12.5,65,65,60,130,95,110,525
197,Umbreon,ˈʌmbɹiːɑːn,Eevee,,2,2b,FALSE,FALSE,Dark,59.5,39,87.5,12.5,95,65,110,60,130,65,525
198,Murkrow,ˈmɝːkɹoʊ,,Honchkrow,2,2a,FALSE,FALSE,"Dark, Flying",4.6,20,50,50,60,85,42,85,42,91,405
199,Slowking,ˈsloʊkɪŋ,Slowpoke,,2,2b,FALSE,FALSE,"Water, Psychic, Poison, Psychic",175.3,79,50,50,95,75,80,100,110,30,490
200,Misdreavus,mɪsˈdɹiːvəs,,Mismagius,2,2a,FALSE,FALSE,Ghost,2.2,28,50,50,60,60,60,85,85,85,435
201,Unown,ʌˈnoʊn,,,1,1a,FALSE,FALSE,Psychic,11,20,,,48,72,48,72,48,48,336
202,Wobbuffet,ˈwɑːbəfɛt,Wynaut,,2,2b,FALSE,FALSE,Psychic,62.8,51,50,50,190,33,58,33,58,33,405
203,Girafarig,dʒɚːˈæfəɹɪɡ,,Farigiraf,2,2a,FALSE,FALSE,"Normal, Psychic",91.5,59,50,50,70,80,65,90,65,85,455
204,Pineco,ˈpaɪnkoʊ,,Forretress,2,2a,FALSE,FALSE,Bug,15.9,24,50,50,50,65,90,35,35,15,290
205,Forretress,ˈfɔːɹətɹəs,Pineco,,2,2b,FALSE,FALSE,"Bug, Steel",277.3,0,50,50,75,90,140,60,60,40,465
206,Dunsparce,ˈdʌnspɑːɹs,,Dudunsparce,2,2a,FALSE,FALSE,Normal,30.9,59,50,50,100,70,70,65,65,45,415
207,Gligar,ˈɡlaɪɡɑːɹ,,Gliscor,2,2a,FALSE,FALSE,"Ground, Flying",142.9,43,50,50,65,75,105,35,65,85,430
208,Steelix,ˈstiːlɪks,Onix,,2,2b,FALSE,FALSE,"Steel, Ground",881.8,362,50,50,75,85,200,55,65,30,510
209,Snubbull,ˈsnʌbʊl,,Granbull,2,2a,FALSE,FALSE,Fairy,17.2,24,25,75,60,80,50,40,40,30,300
210,Granbull,ˈɡɹænbʊl,Snubbull,,2,2b,FALSE,FALSE,Fairy,107.4,55,25,75,90,120,75,60,60,45,450
211,Qwilfish,ˈkwɪlfɪʃ,,Overqwil,2,2a,FALSE,FALSE,"Water, Poison, Dark, Poison",8.6,0,50,50,65,95,75,55,55,85,430
212,Scizor,ˈsɪzɔːɹ,Scyther,,2,2b,FALSE,FALSE,"Bug, Steel",260.1,71,50,50,70,130,100,55,80,65,500
213,Shuckle,ˈʃʌkəl,,,1,1a,FALSE,FALSE,"Bug, Rock",45.2,24,50,50,20,10,230,10,230,5,505
214,Heracross,ˈhɛɹəkɹɑːs,,,1,1a,FALSE,FALSE,"Bug, Fighting",119,59,50,50,80,125,75,40,95,85,500
215,Sneasel,ˈsniːzəl,,"Sneasler, Weavile",2,2a,FALSE,FALSE,"Dark, Ice, Fighting, Poison",61.7,35,50,50,55,95,55,35,75,115,430
216,Teddiursa,tɛdiːˈɝːsə,,Ursaring,3,3a,FALSE,FALSE,Normal,19.4,24,50,50,60,80,50,50,50,40,330
217,Ursaring,ˈɝːsəɹɪŋ,Teddiursa,Ursaluna,3,3b,FALSE,FALSE,Normal,277.3,71,50,50,90,130,75,75,75,55,500
218,Slugma,ˈslʌgmə,,Magcargo,2,2a,FALSE,FALSE,Fire,77.2,28,50,50,40,40,40,70,40,20,250
219,Magcargo,mæɡˈkɑːɹɡoʊ,Slugma,,2,2b,FALSE,FALSE,"Fire, Rock",121.3,31,50,50,50,50,120,80,80,30,410
220,Swinub,ˈswaɪnʌb,,Piloswine,3,3a,FALSE,FALSE,"Ice, Ground",14.3,16,50,50,50,50,40,30,30,50,250
221,Piloswine,ˈpaɪloʊˌswaɪn,Swinub,Mamoswine,3,3b,FALSE,FALSE,"Ice, Ground",123,43,50,50,100,100,80,60,60,50,450
222,Corsola,ˈkɔːɹsələ,,Cursola,2,2a,FALSE,FALSE,"Water, Rock, Ghost",11,0,25,75,55,55,85,65,85,35,380
223,Remoraid,ˈɹɛməɹeɪd,,Octillery,2,2a,FALSE,FALSE,Water,26.5,24,50,50,35,65,35,65,35,65,300
224,Octillery,ɑːkˈtɪlɚiː,Remoraid,,2,2b,FALSE,FALSE,Water,62.8,35,50,50,75,105,75,105,75,45,480
225,Delibird,ˈdɛliːbɚd,,,1,1a,FALSE,FALSE,"Ice, Flying",35.3,0,50,50,45,55,45,65,45,75,330
226,Mantine,ˈmæntiːn,Mantyke,,2,2b,FALSE,FALSE,"Water, Flying",485,83,50,50,65,40,70,80,140,70,465
227,Skarmory,ˈskɑːɹmɚiː,,,1,1a,FALSE,FALSE,"Steel, Flying",111.3,67,50,50,65,80,140,40,70,70,465
228,Houndour,ˈhaʊndaʊɚ,,Houndoom,2,2a,FALSE,FALSE,"Dark, Fire",23.8,0,50,50,45,60,30,80,50,65,330
229,Houndoom,ˈhaʊnduːm,Houndour,,2,2b,FALSE,FALSE,"Dark, Fire",77.2,55,50,50,75,90,50,110,80,95,500
230,Kingdra,ˈkɪŋdɹə,Seadra,,3,3c,FALSE,FALSE,"Water, Dragon",335.1,0,50,50,75,95,95,95,95,85,540
231,Phanpy,ˈfænpiː,,Donphan,2,2a,FALSE,FALSE,Ground,73.9,20,50,50,90,60,60,40,40,40,330
232,Donphan,ˈdɑːnfæn,Phanpy,,2,2b,FALSE,FALSE,Ground,264.6,0,50,50,90,120,120,60,60,50,500
233,Porygon2,ˌpɔːɹiːɡɑːnˈtuː,Porygon,Porygon-Z,3,3b,FALSE,FALSE,Normal,71.7,0,,,85,80,90,105,95,60,515
234,Stantler,ˈstæntlɚ,,Wyrdeer,2,2a,FALSE,FALSE,Normal,157,55,50,50,73,95,62,85,65,85,465
235,Smeargle,ˈsmɪɹɡəl,,,1,1a,FALSE,FALSE,Normal,127.9,47,50,50,55,20,35,20,45,75,250
236,Tyrogue,ˈtaɪɹoʊɡ,,"Hitmontop, Hitmonchan, Hitmonlee",2,2a,TRUE,FALSE,Fighting,46.3,28,,0,35,35,35,35,35,35,210
237,Hitmontop,ˈhɪtmɑːntɑːp,Tyrogue,,2,2b,FALSE,FALSE,Fighting,105.8,55,,0,50,95,95,35,110,70,455
238,Smoochum,ˈsmuːtʃəm,,Jynx,2,2a,TRUE,FALSE,"Ice, Psychic",13.2,16,0,,45,30,15,85,65,65,305
239,Elekid,ˈɛləkɪd,,Electabuzz,3,3a,TRUE,FALSE,Electric,51.8,24,75,25,45,63,37,65,55,95,360
240,Magby,ˈmægbiː,,Magmar,3,3a,TRUE,FALSE,Fire,47.2,28,75,25,45,75,37,70,55,83,365
241,Miltank,ˈmɪltæŋk,,,1,1a,FALSE,FALSE,Normal,166.4,47,0,,95,80,105,40,70,100,490
242,Blissey,ˈblɪsiː,Chansey,,3,3c,FALSE,FALSE,Normal,103.2,59,0,,255,10,10,75,135,55,540
243,Raikou,ˈɹaɪkoʊ,,,1,1a,FALSE,TRUE,Electric,392.4,75,,,90,85,75,115,100,115,580
244,Entei,ˈɛnteɪ,,,1,1a,FALSE,TRUE,Fire,436.5,83,,,115,115,85,90,75,100,580
245,Suicune,ˈswiːkuːn,,,1,1a,FALSE,TRUE,Water,412.3,79,,,100,75,115,90,115,85,580
246,Larvitar,ˈlɑːɹvətɑːɹ,,Pupitar,3,3a,FALSE,FALSE,"Rock, Ground",158.7,24,50,50,50,64,50,45,50,41,300
247,Pupitar,ˈpjuːpətɑːɹ,Larvitar,Tyranitar,3,3b,FALSE,FALSE,"Rock, Ground",335.1,0,50,50,70,84,70,65,70,51,410
248,Tyranitar,taɪˈɹænətɑːɹ,Pupitar,,3,3c,FALSE,FALSE,"Rock, Dark",445.3,79,50,50,100,134,110,95,100,61,600
249,Lugia,ˈluːɡiːə,,,1,1a,FALSE,TRUE,"Psychic, Flying",476.2,205,,,106,90,130,90,154,110,680
250,Ho-Oh,ˈhoʊʔoʊ,,,1,1a,FALSE,TRUE,"Fire, Flying",438.7,150,,,106,130,90,110,154,90,680
251,Celebi,ˈsɛləbiː,,,1,1a,FALSE,FALSE,"Psychic, Grass",11,24,,,100,100,100,100,100,100,600
252,Treecko,ˈtɹiːkoʊ,,Grovyle,3,3a,FALSE,FALSE,Grass,11,20,87.5,12.5,40,45,35,65,55,70,310
253,Grovyle,ˈɡɹoʊvaɪl,Treecko,Sceptile,3,3b,FALSE,FALSE,Grass,47.6,35,87.5,12.5,50,65,45,85,65,95,405
254,Sceptile,ˈsɛptaɪl,Grovyle,,3,3c,FALSE,FALSE,Grass,115.1,67,87.5,12.5,70,85,65,105,85,120,530
255,Torchic,ˈtɔːɹtʃɪk,,Combusken,3,3a,FALSE,FALSE,Fire,5.5,16,87.5,12.5,45,60,40,70,50,45,310
256,Combusken,kəmˈbʌskən,Torchic,Blaziken,3,3b,FALSE,FALSE,"Fire, Fighting",43,35,87.5,12.5,60,85,60,85,60,55,405
257,Blaziken,ˈbleɪzəkən,Combusken,,3,3c,FALSE,FALSE,"Fire, Fighting",114.6,75,87.5,12.5,80,120,70,110,70,80,530
258,Mudkip,ˈmʌdkɪp,,Marshtomp,3,3a,FALSE,FALSE,Water,16.8,16,87.5,12.5,50,70,50,50,50,40,310
259,Marshtomp,ˈmɑːɹʃtɑːmp,Mudkip,Swampert,3,3b,FALSE,FALSE,"Water, Ground",61.7,28,87.5,12.5,70,85,70,60,70,50,405
260,Swampert,ˈswɑːmpɚt,Marshtomp,,3,3c,FALSE,FALSE,"Water, Ground",180.6,59,87.5,12.5,100,110,90,85,90,60,535
261,Poochyena,ˌpuːtʃiːˈjɛnə,,Mightyena,2,2a,FALSE,FALSE,Dark,30,20,50,50,35,55,35,30,30,35,220
262,Mightyena,ˌmaɪtiːˈjɛnə,Poochyena,,2,2b,FALSE,FALSE,Dark,81.6,39,50,50,70,90,70,60,60,70,420
263,Zigzagoon,zɪɡzəˈɡuːn,,Linoone,3,3a,FALSE,FALSE,"Dark, Normal, Normal",38.6,16,50,50,38,30,41,30,41,60,240
264,Linoone,laɪˈnuːn,Zigzagoon,Obstagoon,3,3b,FALSE,FALSE,"Dark, Normal, Normal",71.7,20,50,50,78,70,61,50,61,100,420
265,Wurmple,ˈwɝːmpəl,,"Silcoon, Cascoon",3,3a,FALSE,FALSE,Bug,7.9,12,50,50,45,45,35,20,30,20,195
266,Silcoon,ˈsɪlkuːn,Wurmple,Beautifly,3,3b,FALSE,FALSE,Bug,22,24,50,50,50,35,55,25,25,15,205
267,Beautifly,ˈbjuːtəflaɪ,Silcoon,,3,3c,FALSE,FALSE,"Bug, Flying",62.6,39,50,50,60,70,50,90,50,65,385
268,Cascoon,ˈkæskuːn,Wurmple,Dustox,3,3b,FALSE,FALSE,Bug,25.4,28,50,50,50,35,55,25,25,15,205
269,Dustox,ˈdʌstɑːks,Cascoon,,3,3c,FALSE,FALSE,"Bug, Poison",69.7,47,50,50,60,50,70,50,90,65,385
270,Lotad,ˈloʊtæd,,Lombre,3,3a,FALSE,FALSE,"Water, Grass",5.7,20,50,50,40,30,30,40,50,30,220
271,Lombre,ˈlɑːmbɹeɪ,Lotad,Ludicolo,3,3b,FALSE,FALSE,"Water, Grass",71.7,47,50,50,60,50,50,60,70,50,340
272,Ludicolo,ˌluːdiːˈkoʊloʊ,Lombre,,3,3c,FALSE,FALSE,"Water, Grass",121.3,59,50,50,80,70,70,90,100,70,480
273,Seedot,ˈsiːdɑːt,,Nuzleaf,3,3a,FALSE,FALSE,Grass,8.8,20,50,50,40,40,50,30,30,30,220
274,Nuzleaf,ˈnʌzliːf,Seedot,Shiftry,3,3b,FALSE,FALSE,"Grass, Dark",61.7,39,50,50,70,70,40,60,40,60,340
275,Shiftry,ˈʃɪftɹiː,Nuzleaf,,3,3c,FALSE,FALSE,"Grass, Dark",131.4,51,50,50,90,100,60,90,60,80,480
276,Taillow,ˈteɪloʊ,,Swellow,2,2a,FALSE,FALSE,"Normal, Flying",5.1,12,50,50,40,55,30,30,30,85,270
277,Swellow,ˈswɛloʊ,Taillow,,2,2b,FALSE,FALSE,"Normal, Flying",43.7,28,50,50,60,85,60,50,50,125,430
278,Wingull,ˈwɪŋɡəl,,Pelipper,2,2a,FALSE,FALSE,"Water, Flying",20.9,24,50,50,40,30,30,55,30,85,270
279,Pelipper,ˈpɛlɪpɚ,Wingull,,2,2b,FALSE,FALSE,"Water, Flying",61.7,47,50,50,60,50,100,85,70,65,430
280,Ralts,ˈɹɑːlts,,Kirlia,3,3a,FALSE,FALSE,"Psychic, Fairy",14.6,16,50,50,28,25,25,45,35,40,198
281,Kirlia,ˈkɝːliːə,Ralts,"Gardevoir, Gallade",3,3b,FALSE,FALSE,"Psychic, Fairy",44.5,31,50,50,38,35,35,65,55,50,278
282,Gardevoir,ˈɡɑːɹdəvwɑːɹ,Kirlia,,3,3c,FALSE,FALSE,"Psychic, Fairy",106.7,63,50,50,68,65,65,125,115,80,518
283,Surskit,ˈsɝːskɪt,,Masquerain,2,2a,FALSE,FALSE,"Bug, Water",3.7,20,50,50,40,30,32,50,52,65,269
284,Masquerain,mæskɚˈeɪn,Surskit,,2,2b,FALSE,FALSE,"Bug, Flying",7.9,31,50,50,70,60,62,80,82,60,414
285,Shroomish,ˈʃɹuːmɪʃ,,Breloom,2,2a,FALSE,FALSE,Grass,9.9,16,50,50,60,40,60,40,60,35,295
286,Breloom,ˈbɹɛluːm,Shroomish,,2,2b,FALSE,FALSE,"Grass, Fighting",86.4,47,50,50,60,130,80,60,60,70,460
287,Slakoth,ˈslækɑːθ,,Vigoroth,3,3a,FALSE,FALSE,Normal,52.9,31,50,50,60,60,60,35,35,30,280
288,Vigoroth,ˈvɪɡɚɑːθ,Slakoth,Slaking,3,3b,FALSE,FALSE,Normal,102.5,55,50,50,80,80,80,55,55,90,440
289,Slaking,ˈslækɪŋ,Vigoroth,,3,3c,FALSE,FALSE,Normal,287.7,79,50,50,150,160,100,95,65,100,670
290,Nincada,nɪnˈkɑːdə,,Ninjask,2,2a,FALSE,FALSE,"Bug, Ground",12.1,20,50,50,31,45,90,30,30,40,266
291,Ninjask,ˈnɪndʒæsk,Nincada,,2,2b,FALSE,FALSE,"Bug, Flying",26.5,31,50,50,61,90,45,50,50,160,456
292,Shedinja,ʃɛdˈɪndʒə,,,1,1a,FALSE,FALSE,"Bug, Ghost",2.6,31,,,1,90,45,30,30,40,236
293,Whismur,ˈhwɪsmɚ,,Loudred,3,3a,FALSE,FALSE,Normal,35.9,24,50,50,64,51,23,51,23,28,240
294,Loudred,ˈlaʊdɹɛd,Whismur,Exploud,3,3b,FALSE,FALSE,Normal,89.3,39,50,50,84,71,43,71,43,48,360
295,Exploud,ɛkˈsplaʊd,Loudred,,3,3c,FALSE,FALSE,Normal,185.2,59,50,50,104,91,63,91,63,68,480
296,Makuhita,ˌmɑːkuːˈhiːtə,,Hariyama,2,2a,FALSE,FALSE,Fighting,190.5,39,75,25,72,60,30,20,30,25,237
297,Hariyama,ˌhɑːɹiːˈjɑːmə,Makuhita,,2,2b,FALSE,FALSE,Fighting,559.5,91,75,25,144,120,60,40,60,50,474
298,Azurill,əˈzuːɹɪl,,Marill,3,3a,TRUE,FALSE,"Normal, Fairy",4.4,8,25,75,50,20,40,20,40,20,190
299,Nosepass,ˈnoʊzpæs,,Probopass,2,2a,FALSE,FALSE,Rock,213.8,39,50,50,30,45,135,45,90,30,375
300,Skitty,ˈskɪtiː,,Delcatty,2,2a,FALSE,FALSE,Normal,24.3,24,25,75,50,45,45,35,35,50,260
301,Delcatty,ˈdɛlkætiː,Skitty,,2,2b,FALSE,FALSE,Normal,71.9,43,25,75,70,65,65,55,55,70,380
302,Sableye,ˈseɪbəlaɪ,,,1,1a,FALSE,FALSE,"Dark, Ghost",24.3,20,50,50,50,75,75,65,65,50,380
303,Mawile,ˈmɑːwaɪl,,,1,1a,FALSE,FALSE,"Steel, Fairy",25.4,24,50,50,50,85,85,55,55,50,380
304,Aron,ˈɛɹɑːn,,Lairon,3,3a,FALSE,FALSE,"Steel, Rock",132.3,16,50,50,50,70,100,40,40,30,330
305,Lairon,ˈlɛɹɑːn,Aron,Aggron,3,3b,FALSE,FALSE,"Steel, Rock",264.6,35,50,50,60,90,140,50,50,40,430
306,Aggron,ˈæɡɹɑːn,Lairon,,3,3c,FALSE,FALSE,"Steel, Rock",793.7,83,50,50,70,110,180,60,60,50,530
307,Meditite,ˈmɛdətaɪt,,Medicham,2,2a,FALSE,FALSE,"Fighting, Psychic",24.7,24,50,50,30,40,55,40,55,60,280
308,Medicham,ˈmɛdətʃæm,Meditite,,2,2b,FALSE,FALSE,"Fighting, Psychic",69.4,51,50,50,60,60,75,60,75,80,410
309,Electrike,ɪˈlɛktɹɑɪk,,Manectric,2,2a,FALSE,FALSE,Electric,33.5,24,50,50,40,45,40,65,40,65,295
310,Manectric,meɪˈnɛktɹɪk,Electrike,,2,2b,FALSE,FALSE,Electric,88.6,59,50,50,70,75,60,105,60,105,475
311,Plusle,ˈplʌsəl,,,1,1a,FALSE,FALSE,Electric,9.3,16,50,50,60,50,40,85,75,95,405
312,Minun,ˈmaɪnən,,,1,1a,FALSE,FALSE,Electric,9.3,16,50,50,60,40,50,75,85,95,405
313,Volbeat,ˈvoʊlbiːt,,,1,1a,FALSE,FALSE,Bug,39,28,,0,65,73,55,47,75,85,400
314,Illumise,ɪluˈmiːzeɪ,,,1,1a,FALSE,FALSE,Bug,39,24,0,,65,47,55,73,75,85,400
315,Roselia,ɹoʊˈzɛliːə,Budew,Roserade,3,3b,FALSE,FALSE,"Grass, Poison",4.4,12,50,50,50,60,45,100,80,65,400
316,Gulpin,ˈɡʊlpɪn,,Swalot,2,2a,FALSE,FALSE,Poison,22.7,16,50,50,70,43,53,43,53,40,302
317,Swalot,ˈswɑːlɑːt,Gulpin,,2,2b,FALSE,FALSE,Poison,176.4,67,50,50,100,73,83,73,83,55,467
318,Carvanha,kɑːɹˈvɑːnə,,Sharpedo,2,2a,FALSE,FALSE,"Water, Dark",45.9,31,50,50,45,90,20,65,20,65,305
319,Sharpedo,ʃɑːɹˈpiːdoʊ,Carvanha,,2,2b,FALSE,FALSE,"Water, Dark",195.8,71,50,50,70,120,40,95,40,95,460
320,Wailmer,ˈweɪlmɚ,,Wailord,2,2a,FALSE,FALSE,Water,286.6,79,50,50,130,70,35,70,35,60,400
321,Wailord,ˈweɪlɔːɹd,Wailmer,,2,2b,FALSE,FALSE,Water,877.4,571,50,50,170,90,45,90,45,60,500
322,Numel,ˈnʌməl,,Camerupt,2,2a,FALSE,FALSE,"Fire, Ground",52.9,28,50,50,60,60,40,65,45,35,305
323,Camerupt,ˈkæmɚʌpt,Numel,,2,2b,FALSE,FALSE,"Fire, Ground",485,75,50,50,70,100,70,105,75,40,460
324,Torkoal,ˈtɔːɹkoʊl,,,1,1a,FALSE,FALSE,Fire,177.3,20,50,50,70,85,140,85,70,20,470
325,Spoink,spɔɪŋk,,Grumpig,2,2a,FALSE,FALSE,Psychic,67.5,28,50,50,60,25,35,70,80,60,330
326,Grumpig,ˈɡɹʌmpɪɡ,Spoink,,2,2b,FALSE,FALSE,Psychic,157.6,35,50,50,80,45,65,90,110,80,470
327,Spinda,ˈspɪndə,,,1,1a,FALSE,FALSE,Normal,11,43,50,50,60,60,60,60,60,60,360
328,Trapinch,ˈtɹæpɪntʃ,,Vibrava,3,3a,FALSE,FALSE,Ground,33.1,28,50,50,45,100,45,45,45,10,290
329,Vibrava,vaɪˈbɹɑːvə,Trapinch,Flygon,3,3b,FALSE,FALSE,"Ground, Dragon",33.7,43,50,50,50,70,50,50,50,70,340
330,Flygon,ˈflaɪɡɑːn,Vibrava,,3,3c,FALSE,FALSE,"Ground, Dragon",180.8,79,50,50,80,100,80,80,80,100,520
331,Cacnea,ˈkækniːə,,Cacturne,2,2a,FALSE,FALSE,Grass,113.1,16,50,50,50,85,40,85,40,35,335
332,Cacturne,ˈkæktɚn,Cacnea,,2,2b,FALSE,FALSE,"Grass, Dark",170.6,51,50,50,70,115,60,115,60,55,475
333,Swablu,ˈswɑːbluː,,Altaria,2,2a,FALSE,FALSE,"Normal, Flying",2.6,16,50,50,45,40,60,40,75,50,310
334,Altaria,ɑːlˈtɑːɹiːə,Swablu,,2,2b,FALSE,FALSE,"Dragon, Flying",45.4,43,50,50,75,70,90,70,105,80,490
335,Zangoose,ˈzæŋɡus,,,1,1a,FALSE,FALSE,Normal,88.8,51,50,50,73,115,60,60,60,90,458
336,Seviper,səˈvaɪpɚ,,,1,1a,FALSE,FALSE,Poison,115.7,106,50,50,73,100,60,100,60,65,458
337,Lunatone,ˈluːnətoʊn,,,1,1a,FALSE,FALSE,"Rock, Psychic",370.4,39,,,70,55,65,95,85,70,440
338,Solrock,ˈsɔːlɹɑːk,,,1,1a,FALSE,FALSE,"Rock, Psychic",339.5,47,,,70,95,85,55,65,70,440
339,Barboach,ˈbɑːɹboʊtʃ,,Whiscash,2,2a,FALSE,FALSE,"Water, Ground",4.2,16,50,50,50,48,43,46,41,60,288
340,Whiscash,ˈhwɪskæʃ,Barboach,,2,2b,FALSE,FALSE,"Water, Ground",52,35,50,50,110,78,73,76,71,60,468
341,Corphish,ˈkɔːɹfɪʃ,,Crawdaunt,2,2a,FALSE,FALSE,Water,25.4,24,50,50,43,80,65,50,35,35,308
342,Crawdaunt,ˈkrɑːdɑːnt,Corphish,,2,2b,FALSE,FALSE,"Water, Dark",72.3,43,50,50,63,120,85,90,55,55,468
343,Baltoy,ˈbɑːltɔɪ,,Claydol,2,2a,FALSE,FALSE,"Ground, Psychic",47.4,20,,,40,40,55,40,70,55,300
344,Claydol,ˈkleɪdɔl,Baltoy,,2,2b,FALSE,FALSE,"Ground, Psychic",238,59,,,60,70,105,70,120,75,500
345,Lileep,lɪlˈiːp,,Cradily,2,2a,FALSE,FALSE,"Rock, Grass",52.5,39,87.5,12.5,66,41,77,61,87,23,355
346,Cradily,kɹeɪˈdɪliː,Lileep,,2,2b,FALSE,FALSE,"Rock, Grass",133.2,59,87.5,12.5,86,81,97,81,107,43,495
347,Anorith,ˈænəɹɪθ,,Armaldo,2,2a,FALSE,FALSE,"Rock, Bug",27.6,28,87.5,12.5,45,95,50,40,50,75,355
348,Armaldo,ɑːɹˈmɑːldoʊ,Anorith,,2,2b,FALSE,FALSE,"Rock, Bug",150.4,59,87.5,12.5,75,125,100,70,80,45,495
349,Feebas,ˈfiːbæs,,Milotic,2,2a,FALSE,FALSE,Water,16.3,24,50,50,20,15,20,10,55,80,200
350,Milotic,ˈmaɪloʊtɪk,Feebas,,2,2b,FALSE,FALSE,Water,357.1,244,50,50,95,60,79,100,125,81,540
351,Castform,ˈkæstfɔːɹm,,,1,1a,FALSE,FALSE,"Normal,, Fire,, Water,, Ice",1.8,12,50,50,70,70,70,70,70,70,420
352,Kecleon,ˈkɛkliːɑːn,,,1,1a,FALSE,FALSE,Normal,48.5,39,50,50,60,90,70,60,120,40,440
353,Shuppet,ˈʃʌpət,,Banette,2,2a,FALSE,FALSE,Ghost,5.1,24,50,50,44,75,35,63,33,45,295
354,Banette,beɪˈnɛt,Shuppet,,2,2b,FALSE,FALSE,Ghost,27.6,43,50,50,64,115,65,83,63,65,455
355,Duskull,ˈdʌskəl,,Dusclops,3,3a,FALSE,FALSE,Ghost,33.1,31,50,50,20,40,90,30,90,25,295
356,Dusclops,ˈdʌsklɑːps,Duskull,Dusknoir,3,3b,FALSE,FALSE,Ghost,67.5,63,50,50,40,70,130,60,130,25,455
357,Tropius,ˈtɹɑːpiːəs,,,1,1a,FALSE,FALSE,"Grass, Flying",220.5,79,50,50,99,68,83,72,87,51,460
358,Chimecho,tʃaɪˈmɛkoʊ,Chingling,,2,2b,FALSE,FALSE,Psychic,2.2,24,50,50,65,50,70,95,80,65,425
359,Absol,ˈæbsɔːl,,,1,1a,FALSE,FALSE,Dark,103.6,47,50,50,65,130,60,75,60,75,465
360,Wynaut,ˈwaɪnɑːt,,Wobbuffet,2,2a,TRUE,FALSE,Psychic,30.9,24,50,50,95,23,48,23,48,23,260
361,Snorunt,ˈsnoʊɹʌnt,,"Glalie, Froslass",2,2a,FALSE,FALSE,Ice,37,28,50,50,50,50,50,50,50,50,300
362,Glalie,ˈɡleɪliː,Snorunt,,2,2b,FALSE,FALSE,Ice,565.5,59,50,50,80,80,80,80,80,80,480
363,Spheal,ˈsfiːl,,Sealeo,3,3a,FALSE,FALSE,"Ice, Water",87.1,31,50,50,70,40,50,55,50,25,290
364,Sealeo,ˈsiːliːoʊ,Spheal,Walrein,3,3b,FALSE,FALSE,"Ice, Water",193.1,43,50,50,90,60,70,75,70,45,410
365,Walrein,ˈwɑːlɹeɪn,Sealeo,,3,3c,FALSE,FALSE,"Ice, Water",332,55,50,50,110,80,90,95,90,65,530
366,Clamperl,ˈklæmpɚl,,"Gorebyss, Huntail",2,2a,FALSE,FALSE,Water,115.7,16,50,50,35,64,85,74,55,32,345
367,Huntail,ˈhʌnteɪl,Clamperl,,2,2b,FALSE,FALSE,Water,59.5,67,50,50,55,104,105,94,75,52,485
